,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FuzzyPatternClassifier,FuzzyPatternTreeTopDownClassifier,MultimodalEvolutionaryClassifier,NSFS_NS_DEN_AFTER,NSFS_den,NSFS_SVM_KBF,NSFS_SVM_NS,dimension,gamma,gamma_KBF,knn,nro_sv,nro_sv_KBF,std_proportion,std_proportion_KBF,svmRBF
0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.78,0.82,0.52,0.52,0.86,0.86,10,0.015625,0.015625,0.92,[14 17],[15 17],2.01,2.01,0.86
1,1,1,1,1,1,1,1,1,1,1,1,0.46,0.52,0.58,0.6,0.6,0.72,0.72,60,0.015625,0.015625,0.64,[28 22],[28 22],1.7100000000000002,1.7100000000000002,0.78
2,2,2,2,2,2,2,2,2,2,2,2,0.5,0.56,0.5,0.6,0.6,0.58,0.68,110,0.0625,0.0625,0.6,[25 25],[25 25],4.61,4.61,0.64
3,3,3,3,3,3,3,3,3,3,3,3,0.5,0.64,0.7,0.64,0.64,0.66,0.64,160,0.5,0.5,0.64,[25 25],[25 25],6.8100000000000005,6.8100000000000005,0.76
4,4,4,4,4,4,4,4,4,4,4,4,0.52,0.52,0.56,0.56,0.56,0.68,0.68,210,0.015625,0.015625,0.54,[24 26],[24 26],6.3100000000000005,6.3100000000000005,0.48
5,5,5,5,5,5,5,5,5,5,5,5,0.58,0.38,0.48,0.42,0.42,0.42,0.42,260,0.001953125,0.001953125,0.42,[19 19],[19 19],0.7100000000000001,0.7100000000000001,0.42
6,6,6,6,6,6,6,6,6,6,6,6,0.48,0.46,0.42,0.48,0.48,0.66,0.66,310,0.000244140625,0.000244140625,0.64,[26 24],[26 24],9.91,9.91,0.66
7,7,7,7,7,7,7,7,7,7,7,7,0.4,0.38,0.62,0.4,0.4,0.56,0.4,360,6.103515625e-05,6.103515625e-05,0.5,[29 21],[29 21],6.21,6.21,0.4
8,8,8,8,8,8,8,8,8,8,8,8,0.46,0.5,0.46,0.46,0.46,0.76,0.64,410,0.0078125,0.0078125,0.72,[27 23],[27 23],11.31,11.31,0.46
9,9,9,9,9,9,9,9,9,9,9,9,0.54,0.44,0.6,0.46,0.46,0.68,0.58,460,1.9073486328125e-06,1.9073486328125e-06,0.68,[23 27],[23 27],0.7100000000000001,0.7100000000000001,0.58
