,dimension,NSFS,NSFS_den,SVM_NS,gamma,std_proportion,nro_sv,SVM_KBF,gamma_KBF,std_proportion_KBF,nro_sv_KBF,svmRBF,knn,FuzzyPatternClassifier,MultimodalEvolutionaryClassifier,FuzzyPatternTreeTopDownClassifier
0,2,0.58,0.58,0.84,6.103515625e-05,0.51,[11 10],0.42,6.103515625e-05,0.51,[21 21],0.42,0.82,0.86,0.84,0.7
1,3,0.46,0.46,0.46,1.9073486328125e-06,0.41000000000000003,[23 23],0.46,1.9073486328125e-06,0.41000000000000003,[23 23],0.58,0.82,0.48,0.48,0.68
2,4,0.48,0.48,0.86,0.015625,0.31000000000000005,[8 8],0.48,0.015625,0.31000000000000005,[24 24],0.48,0.78,0.78,0.72,0.8
3,5,0.4,0.4,0.4,1.9073486328125e-06,1.31,[19 19],0.4,1.9073486328125e-06,1.31,[19 19],0.4,0.82,0.64,0.72,0.72
4,6,0.5,0.5,0.5,1.9073486328125e-06,0.31000000000000005,[24 24],0.5,1.9073486328125e-06,0.31000000000000005,[24 24],0.74,0.86,0.66,0.76,0.84
5,7,0.48,0.48,0.48,0.001953125,1.2100000000000002,[24 24],0.48,0.001953125,1.2100000000000002,[24 24],0.48,0.7,0.74,0.62,0.62
6,8,0.5,0.5,0.68,0.00390625,0.31000000000000005,[25 25],0.64,0.00390625,0.31000000000000005,[25 25],0.88,0.86,0.7,0.68,0.82
7,9,0.54,0.54,0.82,0.00390625,0.31000000000000005,[11 12],0.46,0.00390625,0.31000000000000005,[24 23],0.46,0.76,0.6,0.72,0.7
8,10,0.46,0.46,0.86,6.103515625e-05,0.81,[15 15],0.46,6.103515625e-05,0.81,[23 23],0.46,0.84,0.78,0.76,0.74
9,11,0.46,0.46,0.46,7.62939453125e-06,2.11,[23 23],0.46,7.62939453125e-06,2.11,[23 23],0.9,0.9,0.72,0.9,0.86
10,12,0.46,0.46,0.46,0.001953125,0.21000000000000002,[26 24],0.46,0.001953125,0.21000000000000002,[25 24],0.46,0.7,0.72,0.7,0.68
11,13,0.46,0.46,0.76,9.5367431640625e-07,0.31000000000000005,[23 23],0.7,9.5367431640625e-07,0.31000000000000005,[18 24],0.46,0.82,0.72,0.84,0.82
12,14,0.44,0.44,0.44,9.5367431640625e-07,0.21000000000000002,[22 22],0.44,9.5367431640625e-07,0.21000000000000002,[22 22],0.44,0.5,0.66,0.62,0.78
13,15,0.84,0.84,0.46,1.0,1.31,[23 27],0.68,1.0,1.31,[23 25],0.46,0.64,0.66,0.78,0.72
