,dimension,NSFS_NS_KBF,NSFS_NS,gamma_NS,std_fuzzifier_NS,nro_rules_NS,NSFS_KBF,gamma_KBF,std_fuzzifier_KBF,nro_rules_KBF,svmRBF,knn,FuzzyPatternClassifier,MultimodalEvolutionaryClassifier,FuzzyPatternTreeTopDownClassifier,FuzzyReductionRuleClassifier,FuzzyPatternClassifierGA,FuzzyPatternTreeClassifier
0,2,0.496,0.96,0.0009765625,0.51,[49 49],0.948,0.25,0.6100000000000001,[29 28],0.956,0.96,0.936,0.96,0.96,0.948,0.884,0.96
1,3,0.584,0.892,1.0,0.81,[29 23],0.876,1.0,0.41000000000000003,[72 54],0.884,0.892,0.7,0.7,0.716,0.696,0.644,0.716
2,4,0.524,0.884,0.0078125,0.7100000000000001,[62 62],0.92,0.25,0.11,[132 117],0.88,0.904,0.78,0.64,0.74,0.796,0.62,0.712
3,5,0.484,0.9,0.015625,1.4100000000000001,[36 38],0.776,0.03125,1.51,[92 91],0.576,0.904,0.796,0.716,0.744,0.784,0.632,0.728
4,6,0.828,0.864,0.015625,0.11,[102  89],0.656,0.03125,0.6100000000000001,[49 47],0.856,0.856,0.624,0.684,0.688,0.636,0.532,0.704
5,7,0.484,0.78,0.25,1.61,[32 30],0.776,0.125,0.41000000000000003,[92 81],0.828,0.808,0.66,0.704,0.628,0.664,0.556,0.752
6,8,0.94,0.912,1.0,1.2100000000000002,[102 105],0.852,0.000244140625,1.11,[98 98],0.9,0.916,0.8,0.792,0.808,0.828,0.544,0.784
7,9,0.52,0.944,0.0078125,0.6100000000000001,[27 24],0.916,0.03125,0.21000000000000002,[121 124],0.88,0.924,0.852,0.792,0.784,0.86,0.488,0.852
8,10,0.528,0.908,0.0009765625,0.91,[28 31],0.908,1.0,1.11,[132 118],0.9,0.9,0.784,0.792,0.752,0.816,0.536,0.744
9,11,0.48,0.828,0.001953125,0.51,[37 35],0.824,0.0078125,0.01,[130 120],0.532,0.848,0.704,0.712,0.644,0.712,0.544,0.62
10,12,0.5,0.944,0.5,2.21,[79 73],0.888,0.5,1.61,[109  98],0.82,0.924,0.76,0.72,0.748,0.784,0.504,0.68
11,13,0.64,0.948,0.0625,1.31,[60 60],0.916,1.0,0.41000000000000003,[129 121],0.952,0.924,0.772,0.796,0.72,0.796,0.524,0.72
12,14,0.464,0.912,0.0078125,0.81,[49 42],0.872,0.25,1.61,[98 99],0.908,0.904,0.684,0.724,0.728,0.756,0.512,0.692
13,15,0.472,0.764,1.52587890625e-05,0.7100000000000001,[116 115],0.66,0.0625,1.81,[79 74],0.8,0.876,0.7,0.72,0.74,0.696,0.476,0.74
14,16,0.476,0.948,0.25,2.31,[71 72],0.94,0.25,1.2100000000000002,[129 119],0.848,0.916,0.688,0.792,0.736,0.776,0.544,0.76
15,17,0.736,0.908,0.125,1.2100000000000002,[120 102],0.788,0.0625,0.91,[117 106],0.8,0.808,0.62,0.7,0.588,0.644,0.448,0.612
16,18,0.928,0.936,0.015625,0.51,[108 112],0.876,0.0625,0.7100000000000001,[122 127],0.816,0.88,0.704,0.708,0.7,0.76,0.564,0.664
17,19,0.556,0.896,0.0078125,0.6100000000000001,[68 70],0.896,0.0078125,0.21000000000000002,[128 122],0.876,0.86,0.692,0.74,0.6,0.748,0.524,0.652
18,20,0.52,0.84,1.9073486328125e-06,0.81,[75 73],0.896,0.5,1.31,[123 127],0.896,0.908,0.696,0.724,0.636,0.752,0.56,0.752
19,21,0.448,0.804,0.001953125,1.4100000000000001,[94 94],0.892,0.015625,0.21000000000000002,[137 113],0.824,0.844,0.612,0.712,0.58,0.652,0.448,0.624
20,22,0.664,0.884,0.25,2.41,[113 108],0.876,0.5,2.91,[127 122],0.844,0.896,0.708,0.712,0.708,0.752,0.48,0.704
21,23,0.496,0.768,0.0001220703125,0.6100000000000001,[63 66],0.892,0.25,1.4100000000000001,[122 128],0.856,0.856,0.656,0.64,0.596,0.656,0.512,0.588
22,24,0.724,0.944,0.25,2.51,[122 102],0.9,0.0625,0.51,[133 117],0.948,0.916,0.656,0.74,0.664,0.648,0.484,0.664
23,25,0.748,0.96,0.03125,1.01,[103 107],0.96,0.5,2.31,[127 123],0.896,0.94,0.756,0.84,0.716,0.896,0.496,0.732
24,26,0.868,0.872,0.5,3.11,[117 133],0.916,1.0,2.01,[117 133],0.468,0.864,0.684,0.696,0.688,0.716,0.464,0.688
25,27,0.916,0.932,0.0078125,0.41000000000000003,[125 122],0.868,0.125,1.9100000000000001,[123 121],0.932,0.892,0.66,0.64,0.672,0.712,0.528,0.588
26,28,0.9,0.884,0.25,1.61,[125 125],0.884,1.0,2.51,[125 125],0.9,0.888,0.7,0.736,0.62,0.8,0.532,0.648
27,29,0.48,0.832,0.03125,3.01,[89 87],0.88,0.5,2.01,[131 119],0.752,0.856,0.692,0.72,0.624,0.78,0.536,0.592
28,30,0.484,0.856,0.03125,1.81,[85 86],0.844,0.0625,0.81,[122 128],0.82,0.796,0.56,0.644,0.612,0.588,0.484,0.616
29,31,0.504,0.948,0.0625,2.11,[ 98 101],0.94,0.03125,0.7100000000000001,[126 124],0.504,0.924,0.724,0.756,0.64,0.84,0.516,0.724
30,32,0.892,0.936,0.015625,0.91,[115 126],0.888,0.0625,0.81,[120 130],0.484,0.916,0.696,0.728,0.62,0.776,0.504,0.644
31,33,0.932,0.924,0.5,3.41,[124 126],0.888,0.0625,1.2100000000000002,[124 126],0.904,0.892,0.62,0.692,0.68,0.724,0.468,0.712
32,34,0.508,0.8,3.0517578125e-05,0.51,[50 49],0.896,0.0078125,0.41000000000000003,[123 127],0.492,0.888,0.616,0.708,0.664,0.624,0.476,0.636
33,35,0.944,0.592,0.25,2.11,[121 129],0.904,0.125,2.11,[121 129],0.924,0.904,0.624,0.676,0.664,0.696,0.528,0.664
34,36,0.48,0.732,0.00390625,2.21,[120 123],0.96,0.001953125,0.21000000000000002,[121 129],0.76,0.892,0.612,0.704,0.64,0.644,0.536,0.684
35,37,0.772,0.916,0.0625,1.9100000000000001,[121 124],0.892,0.015625,0.7100000000000001,[124 126],0.8,0.844,0.616,0.648,0.6,0.716,0.504,0.636
36,38,0.924,0.916,0.015625,0.81,[132 118],0.904,0.125,0.51,[132 118],0.792,0.836,0.648,0.692,0.68,0.664,0.472,0.632
